Precinct,Code,Location,Address,City,State,Zip
POWDER SPRINGS 3A,PS3A,FIRST BAPTIST CHURCH POWDER SPRINGS,4330 NORTH AVE,POWDER SPRINGS,GA,30127
POWERS FERRY 01,PF01,SEWELL MILL LIBRARY & CULTURAL CENTER,2051 LOWER ROSWELL RD,MARIETTA,GA,30068
RIVERSIDE 01,RS01,CITY VIEW ELEMENTARY SCHOOL,285 S GORDON RD,MABLETON,GA,30126
ROCKY MOUNT 01,RM01,BEAUTIFUL SAVIOR LUTHERAN CHURCH,2240 SHALLOWFORD RD,MARIETTA,GA,30066
ROSWELL 01,RW01,EAST COBB CHURCH OF CHRIST,5240 ROSWELL RD,MARIETTA,GA,30062
ROSWELL 02,RW02,MT ZION UNITED METHODIST CHURCH,1770 JOHNSON FERRY RD,MARIETTA,GA,30062
SANDY PLAINS 01,SA01,HOLY TRINITY LUTHERAN CHURCH,2922 SANDY PLAINS RD,MARIETTA,GA,30066
SEWELL MILL 01,SM01,TEMPLE KOL EMETH,1415 OLD CANTON RD,MARIETTA,GA,30062
SEWELL MILL 03,SM03,GRACE MARIETTA,675 HOLT RD,MARIETTA,GA,30068
SHALLOWFORD FALLS 01,SF01 (NEW),SHALLOWFORD FALLS ELEMENTARY SCHOOL,3529 LASSITER RD,MARIETTA,GA,30062
SIMPSON 01,SI01 (NEW),MOUNTAIN VIEW REGIONAL LIBRARY,3320 SANDY PLAINS RD,MARIETTA,GA,30066
SMYRNA 1A,SN1A,ARGYLE ELEMENTARY SCHOOL,2420 SPRING RD,SMYRNA,GA,30080
SMYRNA 2A,SN2A (NEW),FIRST BAPTIST CHURCH OF SMYRNA,1275 CHURCH ST,SMYRNA,GA,30080
SMYRNA 3A,SN3A,SMYRNA COMMUNITY CENTER,200 VILLAGE GREEN CIR,SMYRNA,GA,30080
SMYRNA 3B,SN3B (NEW),SHILOH SEVENTH DAY ADVENTIST CHURCH,810 CHURCH ST SE,SMYRNA,GA,30080
SMYRNA 4A,SN4A,KING SPRINGS ELEMENTARY SCHOOL (BROWN CAMPUS),3265 BROWN RD SE,SMYRNA,GA,30080
SMYRNA 5A,SN5A (NEW),IGLESIA PENTECOSTAL DE JESUCRISTO ROCA DE SALVACION,2720 SOUTH COBB DR SE,SMYRNA,GA,30080
SMYRNA 6A,SN6A (NEW),AMERICAN LEGION SMYRNA GEORGIA POST 160 INC,160 LEGION DR,SMYRNA,GA,30080
SMYRNA 7A,SN7A,LIFE CHURCH SMYRNA ASSEMBLY OF GOD,4100 KING SPRINGS RD,SMYRNA,GA,30082
SOPE CREEK 01,SO01,HOLY FAMILY CATHOLIC CHURCH,3401 LOWER ROSWELL RD,MARIETTA,GA,30068
SOPE CREEK 02,SO02,SOPE CREEK ELEMENTARY SCHOOL,3320 PAPER MILL RD,MARIETTA,GA,30067
SOPE CREEK 03,SO03,LUTHERAN CHURCH OF THE RESURRECTION,4814 PAPER MILL RD,MARIETTA,GA,30067
SWEETWATER 01,SW01,LINKED UP CHURCH,4331 BROWNSVILLE RD,POWDER SPRINGS,GA,30127
SWEETWATER 02,SW02,FLOYD ROAD BAPTIST CHURCH,3996 FLOYD RD,AUSTELL,GA,30106
TERRELL MILL 01,TM01,EASTVALLEY ELEMENTARY SCHOOL,2570 LOWER ROSWELL RD,MARIETTA,GA,30067
TIMBER RIDGE 01,TR01,CATHOLIC CHURCH OF ST ANN,4905 ROSWELL RD NE,MARIETTA,GA,30062
VAUGHAN 01,VA01,VAUGHAN ELEMENTARY SCHOOL,5950 NICHOLS RD,POWDER SPRINGS,GA,30127
VININGS 01,VG01,VININGS LIBRARY,4290 PACES FERRY RD,ATLANTA,GA,30339
VININGS 02,VG02,TEASLEY ELEMENTARY SCHOOL,3640 SPRING HILL PKWY,SMYRNA,GA,30080
VININGS 03,VG03 (NEW),KING SPRING BAPTIST CHURCH,3732 KING SPRINGS RD SE,SMYRNA,GA,30080
VININGS 04,VG04,COCHISE RIVERVIEW CLUBHOUSE,3795 COCHISE DR,ATLANTA,GA,30339
WADE GREEN 02,WG02,CHRIST EPISCOPAL CHURCH,1210 WOOTEN LAKE RD,KENNESAW,GA,30144
WILLEO 01,WL01 (TEMP),WESLEY CHAPEL METHODIST CHURCH,4495 SANDY PLAINS RD,MARIETTA,GA,30066
